protocol,total_packets,syn(common),"[syn,ack](common)",final_ack(common),syn_ratio(common),syn_ack_rate(common),ack_ratio(common),get_count,get_ratio,avg_pkt_size,unique_uri_ratio,avg_session_duration,num_contributing_ips,label
TCP,565,183,183,0,0.324,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,324,324,0,0,1,0,0,0,0,60,0,0,11,SYN Flood
TCP,669,212,212,0,0.317,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,623,211,211,0,0.339,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,537,537,0,0,1,0,0,0,0,60,0,0,38,SYN Flood
TCP,860,276,276,0,0.321,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,972,318,318,0,0.327,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,334,333,0,0,0.997,0,0,0,0,60,0,0,11,SYN Flood
TCP,861,861,0,0,1,0,0,0,0,60,0,0,57,SYN Flood
TCP,869,280,280,0,0.322,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,424,137,137,0,0.323,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,553,193,193,0,0.349,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,776,261,261,0,0.336,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,882,873,0,0,0.99,0,0,0,0,60,0,0,39,SYN Flood
TCP,841,275,275,0,0.327,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,425,425,0,0,1,0,0,0,0,60,0,0,37,SYN Flood
TCP,189,189,0,0,1,0,0,0,0,60,0,0,12,SYN Flood
TCP,752,238,238,0,0.316,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,465,159,159,0,0.342,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,940,300,300,0,0.319,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,556,180,180,0,0.324,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,322,102,102,0,0.317,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,525,525,0,0,1,0,0,0,0,60,0,0,30,SYN Flood
TCP,563,563,0,0,1,0,0,0,0,60,0,0,563,SYN Flood
TCP,751,740,0,0,0.985,0,0,0,0,60,0,0,13,SYN Flood
TCP,325,113,113,0,0.348,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,402,391,0,0,0.973,0,0,0,0,60,0,0,23,SYN Flood
TCP,735,233,233,0,0.317,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,993,946,0,0,0.953,0,0,0,0,60,0,0,44,SYN Flood
TCP,844,834,0,0,0.988,0,0,0,0,60,0,0,71,SYN Flood
TCP,997,997,0,0,1,0,0,0,0,60,0,0,82,SYN Flood
TCP,921,292,292,0,0.317,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,409,133,133,0,0.325,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,826,284,284,0,0.344,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,288,94,94,0,0.326,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,400,400,0,0,1,0,0,0,0,60,0,0,400,SYN Flood
TCP,974,337,337,0,0.346,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,317,317,0,0,1,0,0,0,0,60,0,0,317,SYN Flood
TCP,818,818,0,0,1,0,0,0,0,60,0,0,49,SYN Flood
TCP,406,404,0,0,0.995,0,0,0,0,60,0,0,28,SYN Flood
TCP,239,239,0,0,1,0,0,0,0,60,0,0,239,SYN Flood
TCP,718,236,236,0,0.329,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,399,133,133,0,0.333,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,579,188,188,0,0.325,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,500,158,158,0,0.316,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,927,300,300,0,0.324,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,503,503,0,0,1,0,0,0,0,60,0,0,40,SYN Flood
TCP,600,199,199,0,0.332,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,897,876,0,0,0.977,0,0,0,0,60,0,0,41,SYN Flood
TCP,734,236,236,0,0.322,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,540,176,176,0,0.326,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,827,263,263,0,0.318,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,424,424,0,0,1,0,0,0,0,60,0,0,31,SYN Flood
TCP,601,208,208,0,0.346,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,845,837,0,0,0.991,0,0,0,0,60,0,0,82,SYN Flood
TCP,679,679,0,0,1,0,0,0,0,60,0,0,36,SYN Flood
TCP,490,159,159,0,0.324,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,441,427,0,0,0.968,0,0,0,0,60,0,0,29,SYN Flood
TCP,337,110,110,0,0.326,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,961,315,315,0,0.328,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,654,224,224,0,0.343,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,399,389,0,0,0.975,0,0,0,0,60,0,0,21,SYN Flood
TCP,833,264,264,0,0.317,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,874,842,0,0,0.963,0,0,0,0,60,0,0,16,SYN Flood
TCP,876,876,0,0,1,0,0,0,0,60,0,0,46,SYN Flood
TCP,472,472,0,0,1,0,0,0,0,60,0,0,30,SYN Flood
TCP,327,327,0,0,1,0,0,0,0,60,0,0,13,SYN Flood
TCP,587,196,196,0,0.334,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,597,597,0,0,1,0,0,0,0,60,0,0,58,SYN Flood
TCP,630,609,0,0,0.967,0,0,0,0,60,0,0,35,SYN Flood
TCP,780,251,251,0,0.322,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,391,375,0,0,0.959,0,0,0,0,60,0,0,38,SYN Flood
TCP,966,326,326,0,0.337,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,488,154,154,0,0.316,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,807,267,267,0,0.331,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,910,874,0,0,0.96,0,0,0,0,60,0,0,41,SYN Flood
TCP,460,157,157,0,0.341,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,518,518,0,0,1,0,0,0,0,60,0,0,24,SYN Flood
TCP,470,157,157,0,0.334,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,586,189,189,0,0.323,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,672,672,0,0,1,0,0,0,0,60,0,0,23,SYN Flood
TCP,906,906,0,0,1,0,0,0,0,60,0,0,67,SYN Flood
TCP,889,299,299,0,0.336,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,630,630,0,0,1,0,0,0,0,60,0,0,59,SYN Flood
TCP,739,735,0,0,0.995,0,0,0,0,60,0,0,13,SYN Flood
TCP,986,986,0,0,1,0,0,0,0,60,0,0,26,SYN Flood
TCP,501,162,162,0,0.323,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,423,138,138,0,0.326,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,479,479,0,0,1,0,0,0,0,60,0,0,17,SYN Flood
TCP,973,324,324,0,0.333,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,454,441,0,0,0.971,0,0,0,0,60,0,0,19,SYN Flood
TCP,588,205,205,0,0.349,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,527,504,0,0,0.956,0,0,0,0,60,0,0,28,SYN Flood
TCP,608,207,207,0,0.34,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,390,381,0,0,0.977,0,0,0,0,60,0,0,31,SYN Flood
TCP,671,655,0,0,0.976,0,0,0,0,60,0,0,12,SYN Flood
TCP,825,266,266,0,0.322,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,866,854,0,0,0.986,0,0,0,0,60,0,0,10,SYN Flood
TCP,386,126,126,0,0.326,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,486,161,161,0,0.331,1,0,0,0,55.33,0,0,1,SYN Flood
TCP,507,483,0,0,0.953,0,0,0,0,60,0,0,37,SYN Flood
